,name,cifar,layer,epochs,minibatch,lr,rb,sc,tds,prec,train_avg_loss,train_val_loss,test_avg_loss,test_val_loss
0,resnet20-cifar-10,10,20,160,128,0.1,-1,-1,1.0,91.37,0.1909340625,0.190424265625,0.44406144654088053,0.44406144654088053
1,resnet20-cifar-10-lr-.01,10,20,160,128,.01,-1,-1,1.0,89.32,0.219818,0.21896953124999996,0.4897940880503145,0.4897940880503145
2,resnet20-cifar-10-lr-.02,10,20,160,128,.02,-1,-1,1.0,89.91,0.18020546875000001,0.1811316875,0.4663198113207547,0.4663198113207547
3,resnet20-cifar-10-lr-.2,10,20,160,128,.2,-1,-1,1.0,92.1,0.22799962499999998,0.228608875,0.4648424528301887,0.4648424528301887
4,resnet20-cifar-10-lr-.5,10,20,160,128,.5,-1,-1,1.0,91.71,0.32134062500000005,0.32216689062500004,0.5420345911949686,0.5420345911949686
5,resnet20-cifar-10-lr-1.0,10,20,160,128,1.0,-1,-1,1.0,88.21,0.66136671875,0.66004725,0.9316838364779872,0.9316838364779872
6,resnet20-cifar-10-epochs-80,10,20,80,128,0.1,-1,-1,1.0,87.33,0.34640596874999996,0.34561446875,0.5399506329113924,0.5399506329113924
7,resnet20-cifar-10-epochs-320,10,20,320,128,0.1,-1,-1,1.0,91.71,0.10591828125,0.1064718984375,0.4014267711598746,0.4014267711598746
8,resnet20-cifar-10-mini-batch-64,10,20,160,64,0.1,-1,-1,1.0,91.88,0.23417477056962027,0.23367295094936708,0.42711528301886786,0.42711528301886786
9,resnet20-cifar-10-mini-batch-256,10,20,160,256,0.1,-1,-1,1.0,91.18,0.174757625,0.17434224999999998,0.4512990566037736,0.4512990566037736
10,resnet20-cifar-100,100,20,160,128,0.1,-1,-1,1.0,67.36,0.9009879218750001,0.9119264687499999,1.607057672955975,1.607057672955975
11,resnet20-cifar-100-lr-.01,100,20,160,128,.01,-1,-1,1.0,63.31,1.07941159375,1.0835097968749998,1.6960180503144655,1.6960180503144655
12,resnet20-cifar-100-lr-.02,100,20,160,128,.02,-1,-1,1.0,64.61,0.931731671875,0.9370047343749999,1.63808,1.63808
13,resnet20-cifar-100-lr-.2,100,20,160,128,.2,-1,-1,1.0,67.56,0.97641321875,0.9861218749999999,1.6465767295597484,1.6465767295597484
14,resnet20-cifar-100-lr-.5,100,20,160,128,.5,-1,-1,1.0,67.28,1.1965262500000002,1.2086451875,1.7729180503144655,1.7729180503144655
15,resnet20-cifar-100-lr-1.0,100,20,160,128,1.0,-1,-1,1.0,65.88,1.517612296875,1.5273684687499998,2.062014528301887,2.062014528301887
16,resnet20-cifar-100-epochs-80,100,20,80,128,0.1,-1,-1,1.0,57.9,1.3189842187500003,1.33128009375,1.8488168354430385,1.8488168354430385
17,resnet20-cifar-100-epochs-320,100,20,320,128,0.1,-1,-1,1.0,66.5,0.6191313984375,0.6261582968750001,1.5456045141065828,1.5456045141065828
18,resnet20-cifar-100-mini-batch-64,100,20,160,64,0.1,-1,-1,1.0,68.62,1.003315039556962,1.0097538607594938,1.5804252830188679,1.5804252830188679
19,resnet20-cifar-100-mini-batch-256,100,20,160,256,0.1,-1,-1,1.0,65.61,0.8806046562500001,0.8844644687500001,1.6702738364779877,1.6702738364779877
20,resnet56-cifar-10,10,56,160,128,0.1,-1,-1,1.0,93.23,0.16800857812499997,0.168056875,0.41159905660377355,0.41159905660377355
21,resnet56-cifar-10-lr-.01,10,56,160,128,.01,-1,-1,1.0,90.11,0.17509048437500002,0.175444046875,0.5429403773584905,0.5429403773584905
22,resnet56-cifar-10-lr-.02,10,56,160,128,.02,-1,-1,1.0,91.16,0.15028382812500002,0.14997981249999998,0.4699835220125786,0.4699835220125786
