=> Building model...
model depth 110...
=> loading cifar10 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][0/782]	Time 0.356 (0.356)	Data 0.093 (0.093)	Loss 3.4405 (3.4405)	Prec 7.812% (7.812%)
Epoch: [0][10/782]	Time 0.063 (0.096)	Data 0.001 (0.010)	Loss 2.4565 (5.0380)	Prec 9.375% (10.227%)
Epoch: [0][20/782]	Time 0.065 (0.082)	Data 0.002 (0.006)	Loss 2.5889 (3.8707)	Prec 14.062% (10.045%)
Epoch: [0][30/782]	Time 0.062 (0.076)	Data 0.001 (0.004)	Loss 2.2647 (3.3815)	Prec 15.625% (10.635%)
Epoch: [0][40/782]	Time 0.063 (0.073)	Data 0.001 (0.004)	Loss 2.2956 (3.1263)	Prec 12.500% (10.671%)
Epoch: [0][50/782]	Time 0.065 (0.071)	Data 0.001 (0.003)	Loss 2.3185 (2.9659)	Prec 12.500% (10.907%)
Epoch: [0][60/782]	Time 0.064 (0.070)	Data 0.002 (0.003)	Loss 2.3013 (2.8568)	Prec 9.375% (10.758%)
Epoch: [0][70/782]	Time 0.064 (0.069)	Data 0.002 (0.003)	Loss 2.3002 (2.7790)	Prec 14.062% (10.695%)
Epoch: [0][80/782]	Time 0.063 (0.068)	Data 0.001 (0.003)	Loss 2.2873 (2.7193)	Prec 7.812% (10.841%)
Epoch: [0][90/782]	Time 0.062 (0.068)	Data 0.001 (0.002)	Loss 2.3059 (2.6739)	Prec 4.688% (10.663%)
Epoch: [0][100/782]	Time 0.062 (0.067)	Data 0.001 (0.002)	Loss 2.3291 (2.6368)	Prec 10.938% (10.659%)
Epoch: [0][110/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 2.3252 (2.6066)	Prec 23.438% (10.811%)
Epoch: [0][120/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 2.2973 (2.5808)	Prec 6.250% (10.705%)
Epoch: [0][130/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 2.2874 (2.5590)	Prec 9.375% (10.711%)
Epoch: [0][140/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 2.3299 (2.5415)	Prec 10.938% (10.694%)
Epoch: [0][150/782]	Time 0.062 (0.066)	Data 0.001 (0.002)	Loss 2.3267 (2.5253)	Prec 6.250% (10.679%)
Epoch: [0][160/782]	Time 0.063 (0.066)	Data 0.001 (0.002)	Loss 2.2797 (2.5113)	Prec 14.062% (10.714%)
Epoch: [0][170/782]	Time 0.063 (0.066)	Data 0.001 (0.002)	Loss 2.3391 (2.4987)	Prec 4.688% (10.691%)
Epoch: [0][180/782]	Time 0.079 (0.066)	Data 0.002 (0.002)	Loss 2.3136 (2.4880)	Prec 4.688% (10.644%)
Epoch: [0][190/782]	Time 0.062 (0.066)	Data 0.001 (0.002)	Loss 2.3374 (2.4778)	Prec 9.375% (10.733%)
Epoch: [0][200/782]	Time 0.063 (0.066)	Data 0.001 (0.002)	Loss 2.2905 (2.4685)	Prec 14.062% (10.774%)
Epoch: [0][210/782]	Time 0.062 (0.066)	Data 0.001 (0.002)	Loss 2.3304 (2.4603)	Prec 12.500% (10.804%)
Epoch: [0][220/782]	Time 0.066 (0.066)	Data 0.001 (0.002)	Loss 2.6689 (2.4539)	Prec 12.500% (10.768%)
Epoch: [0][230/782]	Time 0.063 (0.066)	Data 0.001 (0.002)	Loss 2.3451 (2.4474)	Prec 14.062% (10.775%)
Epoch: [0][240/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 2.3003 (2.4412)	Prec 12.500% (10.762%)
Epoch: [0][250/782]	Time 0.067 (0.066)	Data 0.002 (0.002)	Loss 2.2860 (2.4353)	Prec 10.938% (10.801%)
Epoch: [0][260/782]	Time 0.063 (0.066)	Data 0.001 (0.002)	Loss 2.2680 (2.4299)	Prec 15.625% (10.914%)
Epoch: [0][270/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 2.3124 (2.4253)	Prec 10.938% (10.926%)
Epoch: [0][280/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.2850 (2.4203)	Prec 6.250% (11.010%)
Epoch: [0][290/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.3077 (2.4161)	Prec 10.938% (11.050%)
Epoch: [0][300/782]	Time 0.081 (0.065)	Data 0.001 (0.002)	Loss 2.2792 (2.4118)	Prec 20.312% (11.119%)
Epoch: [0][310/782]	Time 0.064 (0.065)	Data 0.002 (0.002)	Loss 2.2851 (2.4080)	Prec 7.812% (11.123%)
Epoch: [0][320/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 2.2963 (2.4047)	Prec 9.375% (11.152%)
Epoch: [0][330/782]	Time 0.069 (0.065)	Data 0.002 (0.002)	Loss 2.2959 (2.4015)	Prec 10.938% (11.145%)
Epoch: [0][340/782]	Time 0.068 (0.065)	Data 0.001 (0.002)	Loss 2.2818 (2.3983)	Prec 9.375% (11.102%)
Epoch: [0][350/782]	Time 0.068 (0.066)	Data 0.002 (0.002)	Loss 2.2503 (2.3950)	Prec 15.625% (11.084%)
Epoch: [0][360/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2965 (2.3924)	Prec 10.938% (11.098%)
Epoch: [0][370/782]	Time 0.073 (0.066)	Data 0.002 (0.002)	Loss 2.2593 (2.3898)	Prec 18.750% (11.127%)
Epoch: [0][380/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 2.3402 (2.3873)	Prec 9.375% (11.171%)
Epoch: [0][390/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 2.2641 (2.3847)	Prec 12.500% (11.225%)
Epoch: [0][400/782]	Time 0.066 (0.066)	Data 0.001 (0.002)	Loss 2.2547 (2.3825)	Prec 14.062% (11.253%)
Epoch: [0][410/782]	Time 0.065 (0.065)	Data 0.001 (0.002)	Loss 2.2875 (2.3801)	Prec 18.750% (11.306%)
Epoch: [0][420/782]	Time 0.071 (0.066)	Data 0.001 (0.002)	Loss 2.2617 (2.3780)	Prec 15.625% (11.309%)
Epoch: [0][430/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.3081 (2.3757)	Prec 7.812% (11.300%)
Epoch: [0][440/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2933 (2.3740)	Prec 7.812% (11.327%)
Epoch: [0][450/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.3516 (2.3724)	Prec 10.938% (11.298%)
Epoch: [0][460/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2800 (2.3706)	Prec 12.500% (11.310%)
Epoch: [0][470/782]	Time 0.065 (0.065)	Data 0.001 (0.002)	Loss 2.2890 (2.3690)	Prec 12.500% (11.312%)
Epoch: [0][480/782]	Time 0.079 (0.065)	Data 0.001 (0.002)	Loss 2.2166 (2.3668)	Prec 15.625% (11.379%)
Epoch: [0][490/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2860 (2.3650)	Prec 12.500% (11.412%)
Epoch: [0][500/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.3773 (2.3634)	Prec 6.250% (11.452%)
Epoch: [0][510/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.3002 (2.3619)	Prec 10.938% (11.537%)
Epoch: [0][520/782]	Time 0.067 (0.065)	Data 0.002 (0.002)	Loss 2.3354 (2.3606)	Prec 9.375% (11.522%)
Epoch: [0][530/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.2626 (2.3593)	Prec 23.438% (11.547%)
Epoch: [0][540/782]	Time 0.066 (0.065)	Data 0.002 (0.002)	Loss 2.2854 (2.3578)	Prec 15.625% (11.582%)
Epoch: [0][550/782]	Time 0.064 (0.065)	Data 0.002 (0.002)	Loss 2.2514 (2.3562)	Prec 15.625% (11.615%)
Epoch: [0][560/782]	Time 0.068 (0.065)	Data 0.003 (0.002)	Loss 2.2762 (2.3550)	Prec 12.500% (11.614%)
Epoch: [0][570/782]	Time 0.068 (0.065)	Data 0.004 (0.002)	Loss 2.2924 (2.3535)	Prec 3.125% (11.619%)
Epoch: [0][580/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.2391 (2.3520)	Prec 17.188% (11.645%)
