=> Building model...
model depth 110...
=> loading cifar100 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][0/782]	Time 0.372 (0.372)	Data 0.112 (0.112)	Loss 5.7959 (5.7959)	Prec 1.562% (1.562%)
Epoch: [0][10/782]	Time 0.068 (0.101)	Data 0.002 (0.012)	Loss 5.5796 (6.0776)	Prec 0.000% (0.852%)
Epoch: [0][20/782]	Time 0.067 (0.085)	Data 0.001 (0.007)	Loss 4.6077 (5.5063)	Prec 1.562% (0.967%)
Epoch: [0][30/782]	Time 0.067 (0.080)	Data 0.001 (0.005)	Loss 4.6017 (5.2383)	Prec 0.000% (1.210%)
Epoch: [0][40/782]	Time 0.067 (0.077)	Data 0.002 (0.004)	Loss 4.5996 (5.0863)	Prec 0.000% (1.105%)
Epoch: [0][50/782]	Time 0.070 (0.075)	Data 0.002 (0.004)	Loss 4.6155 (4.9940)	Prec 0.000% (1.011%)
Epoch: [0][60/782]	Time 0.068 (0.074)	Data 0.002 (0.004)	Loss 4.5940 (4.9325)	Prec 0.000% (1.076%)
Epoch: [0][70/782]	Time 0.067 (0.073)	Data 0.002 (0.003)	Loss 4.6076 (4.8875)	Prec 0.000% (1.012%)
Epoch: [0][80/782]	Time 0.067 (0.072)	Data 0.002 (0.003)	Loss 4.6104 (4.8525)	Prec 1.562% (0.965%)
Epoch: [0][90/782]	Time 0.067 (0.072)	Data 0.002 (0.003)	Loss 4.6067 (4.8250)	Prec 3.125% (0.996%)
Epoch: [0][100/782]	Time 0.068 (0.071)	Data 0.002 (0.003)	Loss 4.5818 (4.8033)	Prec 0.000% (1.021%)
Epoch: [0][110/782]	Time 0.067 (0.071)	Data 0.001 (0.003)	Loss 4.6079 (4.7858)	Prec 0.000% (0.985%)
Epoch: [0][120/782]	Time 0.068 (0.071)	Data 0.002 (0.003)	Loss 4.5818 (4.7709)	Prec 3.125% (1.020%)
Epoch: [0][130/782]	Time 0.069 (0.071)	Data 0.002 (0.002)	Loss 4.5780 (4.7573)	Prec 0.000% (1.026%)
Epoch: [0][140/782]	Time 0.071 (0.071)	Data 0.002 (0.002)	Loss 4.6231 (4.7473)	Prec 0.000% (1.031%)
Epoch: [0][150/782]	Time 0.071 (0.070)	Data 0.003 (0.002)	Loss 4.5894 (4.7376)	Prec 3.125% (1.055%)
Epoch: [0][160/782]	Time 0.070 (0.071)	Data 0.002 (0.002)	Loss 4.6061 (4.7290)	Prec 1.562% (1.077%)
Epoch: [0][170/782]	Time 0.069 (0.071)	Data 0.002 (0.002)	Loss 4.6227 (4.7217)	Prec 0.000% (1.060%)
Epoch: [0][180/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.6258 (4.7145)	Prec 0.000% (1.088%)
Epoch: [0][190/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.6013 (4.7078)	Prec 1.562% (1.088%)
