=> Building model...
model depth 20...
=> loading cifar100 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][0/782]	Time 0.235 (0.235)	Data 0.103 (0.103)	Loss 4.6935 (4.6935)	Prec 0.000% (0.000%)
Epoch: [0][10/782]	Time 0.014 (0.036)	Data 0.001 (0.010)	Loss 4.6882 (4.6929)	Prec 0.000% (1.705%)
Epoch: [0][20/782]	Time 0.017 (0.025)	Data 0.001 (0.006)	Loss 4.6830 (4.6653)	Prec 1.562% (2.009%)
Epoch: [0][30/782]	Time 0.019 (0.023)	Data 0.001 (0.005)	Loss 4.6520 (4.6631)	Prec 1.562% (1.562%)
Epoch: [0][40/782]	Time 0.013 (0.021)	Data 0.001 (0.004)	Loss 4.7002 (4.6439)	Prec 4.688% (1.753%)
Epoch: [0][50/782]	Time 0.013 (0.020)	Data 0.001 (0.003)	Loss 4.5623 (4.6208)	Prec 3.125% (1.869%)
Epoch: [0][60/782]	Time 0.021 (0.019)	Data 0.002 (0.003)	Loss 4.3160 (4.5865)	Prec 6.250% (1.972%)
Epoch: [0][70/782]	Time 0.014 (0.019)	Data 0.001 (0.003)	Loss 4.4799 (4.5680)	Prec 3.125% (2.025%)
Epoch: [0][80/782]	Time 0.013 (0.018)	Data 0.001 (0.003)	Loss 4.2790 (4.5481)	Prec 0.000% (2.141%)
Epoch: [0][90/782]	Time 0.019 (0.018)	Data 0.002 (0.002)	Loss 4.2404 (4.5234)	Prec 6.250% (2.335%)
Epoch: [0][100/782]	Time 0.014 (0.018)	Data 0.001 (0.002)	Loss 4.4150 (4.5009)	Prec 10.938% (2.630%)
Epoch: [0][110/782]	Time 0.014 (0.017)	Data 0.001 (0.002)	Loss 4.3163 (4.4828)	Prec 4.688% (2.773%)
Epoch: [0][120/782]	Time 0.021 (0.017)	Data 0.002 (0.002)	Loss 4.3726 (4.4690)	Prec 1.562% (2.867%)
Epoch: [0][130/782]	Time 0.017 (0.017)	Data 0.002 (0.002)	Loss 4.3937 (4.4541)	Prec 1.562% (2.994%)
Epoch: [0][140/782]	Time 0.015 (0.017)	Data 0.002 (0.002)	Loss 4.2096 (4.4388)	Prec 4.688% (3.070%)
Epoch: [0][150/782]	Time 0.017 (0.017)	Data 0.002 (0.002)	Loss 3.9752 (4.4227)	Prec 10.938% (3.218%)
Epoch: [0][160/782]	Time 0.018 (0.017)	Data 0.001 (0.002)	Loss 4.0905 (4.4106)	Prec 9.375% (3.348%)
Epoch: [0][170/782]	Time 0.013 (0.017)	Data 0.001 (0.002)	Loss 4.1073 (4.3981)	Prec 7.812% (3.390%)
Epoch: [0][180/782]	Time 0.020 (0.017)	Data 0.001 (0.002)	Loss 4.1415 (4.3882)	Prec 0.000% (3.427%)
Epoch: [0][190/782]	Time 0.015 (0.017)	Data 0.002 (0.002)	Loss 4.1397 (4.3757)	Prec 4.688% (3.591%)
Epoch: [0][200/782]	Time 0.014 (0.017)	Data 0.002 (0.002)	Loss 4.3555 (4.3677)	Prec 4.688% (3.623%)
Epoch: [0][210/782]	Time 0.019 (0.017)	Data 0.001 (0.002)	Loss 4.2260 (4.3612)	Prec 1.562% (3.658%)
Epoch: [0][220/782]	Time 0.016 (0.017)	Data 0.001 (0.002)	Loss 4.2225 (4.3521)	Prec 3.125% (3.712%)
Epoch: [0][230/782]	Time 0.017 (0.017)	Data 0.002 (0.002)	Loss 3.9910 (4.3405)	Prec 3.125% (3.774%)
Epoch: [0][240/782]	Time 0.020 (0.017)	Data 0.001 (0.002)	Loss 3.9470 (4.3294)	Prec 9.375% (3.948%)
